<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
XAUAUD,20061229,00:00:00,803.0629,799.1399,807.7460,805.8548
XAUAUD,20070101,00:00:00,807.2731,805.9286,807.2731,806.1573
XAUAUD,20070102,00:00:00,806.6396,801.9839,807.8824,804.2222
XAUAUD,20070103,00:00:00,804.5992,790.1391,810.9434,792.6198
XAUAUD,20070104,00:00:00,792.5196,791.1513,801.6065,793.2925
XAUAUD,20070105,00:00:00,793.0375,772.3599,799.1316,778.1486
XAUAUD,20070108,00:00:00,780.8606,772.8961,782.2797,780.9536
XAUAUD,20070109,00:00:00,780.7535,776.6094,788.5428,786.9693
XAUAUD,20070110,00:00:00,786.9693,780.5695,788.4368,785.9257
XAUAUD,20070111,00:00:00,785.8246,778.0903,787.8361,784.6706
XAUAUD,20070112,00:00:00,783.2607,782.2963,801.0217,799.0040
XAUAUD,20070115,00:00:00,798.5978,795.3157,800.8421,799.0815
XAUAUD,20070116,00:00:00,798.8264,795.2484,800.8691,799.3602
XAUAUD,20070117,00:00:00,799.2579,789.1857,805.6227,803.5351
XAUAUD,20070118,00:00:00,803.3058,792.4792,806.8239,792.6057
XAUAUD,20070119,00:00:00,793.2388,792.8590,806.1613,804.2295
XAUAUD,20070122,00:00:00,804.9956,801.7482,810.7079,803.2266
XAUAUD,20070123,00:00:00,803.3286,803.1496,817.3441,815.1187
XAUAUD,20070124,00:00:00,814.9924,814.7634,830.8776,828.9810
XAUAUD,20070125,00:00:00,828.8968,828.0589,840.2108,835.5118
XAUAUD,20070126,00:00:00,834.8647,828.8487,837.7959,835.3382
XAUAUD,20070129,00:00:00,834.7983,829.1990,839.1862,831.7370
XAUAUD,20070130,00:00:00,831.6076,828.7192,838.0409,836.6580
XAUAUD,20070131,00:00:00,836.9621,832.9873,845.2197,841.1287
XAUAUD,20070201,00:00:00,841.1287,840.2885,852.5351,848.1405
XAUAUD,20070202,00:00:00,848.4692,830.3640,851.6080,835.8941
XAUAUD,20070205,00:00:00,837.2333,834.0206,841.4665,835.6111
XAUAUD,20070206,00:00:00,835.5899,834.9014,846.6486,839.7221
XAUAUD,20070207,00:00:00,839.9589,835.5618,843.6897,836.0508
XAUAUD,20070208,00:00:00,836.4360,831.1088,845.6221,843.9580
XAUAUD,20070209,00:00:00,843.8300,842.2265,860.2317,857.9889
XAUAUD,20070212,00:00:00,857.3452,853.9616,861.4987,856.2540
XAUAUD,20070213,00:00:00,856.3837,849.3767,862.6161,852.4654
XAUAUD,20070214,00:00:00,852.3369,848.8253,857.4719,853.5495
XAUAUD,20070215,00:00:00,854.0603,844.9662,855.9744,854.0258
XAUAUD,20070216,00:00:00,853.8982,843.8614,854.3714,850.1334
XAUAUD,20070219,00:00:00,850.1525,848.1848,854.9579,852.4549
XAUAUD,20070220,00:00:00,852.6718,834.5003,854.0155,836.5140
XAUAUD,20070221,00:00:00,836.0260,832.5098,862.6360,857.5221
XAUAUD,20070222,00:00:00,857.6486,854.4696,862.2830,858.1569
XAUAUD,20070223,00:00:00,858.5193,853.1202,868.8732,862.5568
XAUAUD,20070226,00:00:00,860.1919,859.4342,868.0556,864.2893
XAUAUD,20070227,00:00:00,864.5072,836.0822,868.6601,843.2220
XAUAUD,20070228,00:00:00,844.0041,838.9594,860.0279,849.4160
XAUAUD,20070301,00:00:00,849.7969,842.7825,860.5567,847.0468
XAUAUD,20070302,00:00:00,846.3206,816.5454,848.9411,821.9266
XAUAUD,20070305,00:00:00,821.9721,819.1820,831.3456,827.5862
XAUAUD,20070306,00:00:00,828.0396,820.5128,835.8518,835.2713
XAUAUD,20070307,00:00:00,834.9477,827.7549,838.7429,835.5653
XAUAUD,20070308,00:00:00,835.3289,833.7839,843.8547,838.1994
XAUAUD,20070309,00:00:00,838.6308,830.0846,842.6116,830.6193
XAUAUD,20070312,00:00:00,833.0343,826.0648,835.3783,826.1920
XAUAUD,20070313,00:00:00,825.9598,818.6575,831.3099,824.4040
XAUAUD,20070314,00:00:00,824.1928,811.6403,824.5322,818.4013
XAUAUD,20070315,00:00:00,818.6324,817.0763,824.4324,820.5356
XAUAUD,20070316,00:00:00,820.6397,814.9830,822.6707,820.3066
XAUAUD,20070319,00:00:00,824.3073,814.2981,825.6650,815.9700
XAUAUD,20070320,00:00:00,815.8683,814.8610,825.8315,819.1781
XAUAUD,20070321,00:00:00,819.0761,818.1931,825.5552,821.0839
XAUAUD,20070322,00:00:00,821.2076,819.8935,825.7040,822.8869
XAUAUD,20070323,00:00:00,822.9891,813.3069,823.3688,816.4533
XAUAUD,20070326,00:00:00,814.9621,814.7596,821.3224,819.4170
XAUAUD,20070327,00:00:00,819.3158,818.0921,824.4918,822.2772
XAUAUD,20070328,00:00:00,822.5827,821.7160,829.2076,826.0276
XAUAUD,20070329,00:00:00,826.2760,811.6947,826.2760,819.0488
XAUAUD,20070330,00:00:00,819.2517,817.2639,823.6020,820.3289
XAUAUD,20070402,00:00:00,818.9676,803.5999,822.8240,812.9594
XAUAUD,20070403,00:00:00,812.7832,811.6883,820.1501,816.4596
XAUAUD,20070404,00:00:00,817.4213,816.8754,829.2592,823.5581
XAUAUD,20070405,00:00:00,823.7595,820.4565,824.1544,823.2206
XAUAUD,20070406,00:00:00,823.3211,821.8777,826.7697,826.6307
XAUAUD,20070409,00:00:00,825.9219,821.1093,829.5371,821.2098
XAUAUD,20070410,00:00:00,821.0874,818.6109,826.5356,819.7674
XAUAUD,20070411,00:00:00,820.5718,817.1900,824.7848,820.1648
XAUAUD,20070412,00:00:00,820.8919,811.0949,823.0442,816.2847
XAUAUD,20070413,00:00:00,815.9228,812.5750,823.5153,821.2271
XAUAUD,20070416,00:00:00,821.4842,819.0420,830.7674,829.0075
XAUAUD,20070417,00:00:00,829.0280,819.7897,830.0457,820.2032
XAUAUD,20070418,00:00:00,820.3013,819.8112,828.8321,821.2497
XAUAUD,20070419,00:00:00,820.9560,813.5695,829.5522,815.6572
XAUAUD,20070420,00:00:00,817.2133,816.1387,830.1797,825.2925
XAUAUD,20070423,00:00:00,825.8896,825.0841,832.1317,828.1250
XAUAUD,20070424,00:00:00,828.1457,823.3801,837.0461,826.2025
XAUAUD,20070425,00:00:00,826.0029,819.2728,827.7321,819.8036
XAUAUD,20070426,00:00:00,820.0000,812.9845,826.1971,816.4871
XAUAUD,20070427,00:00:00,816.4871,811.1258,821.1186,820.3398
XAUAUD,20070430,00:00:00,821.4846,815.1048,823.6648,816.7571
XAUAUD,20070501,00:00:00,817.1187,808.0019,819.0925,813.3688
XAUAUD,20070502,00:00:00,813.4897,808.3585,819.3211,815.7990
XAUAUD,20070503,00:00:00,816.2621,814.9945,828.1895,827.7454
XAUAUD,20070504,00:00:00,827.8460,827.5443,841.3415,837.5548
XAUAUD,20070507,00:00:00,837.9004,831.2742,839.0203,834.7889
